ride_id,date,pickup_location,dropoff_location,distance_km,fare,payment_method,driver_id,ride_type,ride_status,rating
R062,2026-09-09,Gulberg,Model Town,7.1,285.0,Wallet,DRV-002,Economy,Completed,3.6
R063,2026-09-03,DHA,Johar Town,14.1,429.0,Card,DRV-003,Standard,Cancelled,
R064,2026-09-05,DHA,Johar Town,15.8,479.0,UPI,DRV-004,Standard,Completed,4.5
R065,2026-09-07,Johar Town,Bahria Town,21.1,601.0,Wallet,DRV-005,Premium,Cancelled,
R066,2026-09-09,Johar Town,Johar Town,15.2,460.0,UPI,DRV-006,Standard,Cancelled,
R067,2026-09-08,DHA,Gulberg,13.1,424.0,Cash,DRV-007,Standard,Cancelled,
R068,2026-09-08,Gulberg,DHA,8.5,302.0,Cash,DRV-008,Economy,Cancelled,
R069,2026-09-07,Bahria Town,Johar Town,12.1,403.0,UPI,DRV-009,Standard,Completed,4.1
R070,2026-09-10,Bahria Town,Model Town,22.2,606.0,Card,DRV-010,Premium,Completed,4.1
R071,2026-09-04,DHA,Bahria Town,17.4,504.0,Card,DRV-001,Premium,Completed,3.9
R072,2026-09-01,DHA,DHA,18.0,533.0,Cash,DRV-002,Premium,Completed,4.9
R073,2026-09-05,DHA,Bahria Town,13.1,429.0,Wallet,DRV-003,Standard,Cancelled,
R074,2026-09-02,DHA,DHA,10.2,342.0,Card,DRV-004,Economy,Completed,4.2
R075,2026-09-06,Gulberg,DHA,9.7,332.0,Cash,DRV-005,Economy,Cancelled,
R076,2026-09-10,DHA,Gulberg,12.5,396.0,Cash,DRV-006,Economy,Completed,3.8
R077,2026-09-05,Bahria Town,Model Town,5.1,228.0,UPI,DRV-007,Economy,Completed,4.7
R078,2026-09-03,Johar Town,Gulberg,14.4,456.0,Wallet,DRV-008,Standard,Completed,4.4
R079,2026-09-10,Bahria Town,Gulberg,11.8,389.0,Card,DRV-009,Economy,Completed,4.7
R080,2026-09-01,Gulberg,Gulberg,7.7,303.0,UPI,DRV-010,Economy,Completed,5.0
R081,2026-09-01,Gulberg,Model Town,15.3,454.0,Wallet,DRV-001,Standard,Completed,4.6
R082,2026-09-07,Johar Town,Bahria Town,22.0,611.0,Cash,DRV-002,Premium,Completed,4.1
R083,2026-09-09,DHA,Model Town,14.6,453.0,Cash,DRV-003,Standard,Completed,4.6
R084,2026-09-08,DHA,Gulberg,11.7,394.0,Card,DRV-004,Economy,Completed,4.7
R085,2026-09-01,Model Town,Bahria Town,14.9,461.0,Card,DRV-005,Standard,Completed,4.2
R086,2026-09-05,Model Town,Gulberg,19.1,554.0,Card,DRV-006,Premium,Completed,4.9
R087,2026-09-02,Gulberg,Gulberg,9.7,333.0,Card,DRV-007,Economy,Completed,4.6
R088,2026-09-01,Johar Town,Johar Town,14.0,431.0,UPI,DRV-008,Standard,Completed,4.3
R089,2026-09-04,Gulberg,DHA,12.5,391.0,Card,DRV-009,Economy,Completed,5.0
R090,2026-09-03,Model Town,Model Town,5.9,253.0,Cash,DRV-010,Economy,Completed,4.5
R091,2026-09-08,Gulberg,Model Town,13.2,427.0,UPI,DRV-001,Standard,Completed,3.8
R092,2026-09-02,DHA,Bahria Town,15.1,455.0,Card,DRV-002,Standard,Completed,4.3
R093,2026-09-10,Bahria Town,DHA,13.2,409.0,Card,DRV-003,Standard,Completed,4.7
R094,2026-09-08,Johar Town,Bahria Town,13.6,424.0,Cash,DRV-004,Standard,Completed,4.8
R095,2026-09-03,DHA,Gulberg,21.6,598.0,Cash,DRV-005,Premium,Completed,3.6
R096,2026-09-03,Model Town,Model Town,14.4,445.0,Card,DRV-006,Standard,Completed,3.7
R097,2026-09-03,Gulberg,DHA,14.5,445.0,Cash,DRV-007,Standard,Completed,4.8
R098,2026-09-09,Bahria Town,Johar Town,7.5,290.0,Card,DRV-008,Economy,Completed,4.0
R099,2026-09-02,DHA,Gulberg,19.3,567.0,Cash,DRV-009,Premium,Completed,4.1
R100,2026-09-04,Model Town,Gulberg,21.7,618.0,Cash,DRV-010,Premium,Completed,4.2
